ÇàÁ¤µ¿ÄÚµå,½Ã°£´ë±¸ºÐ,ÃÑ»ýÈ°ÀÎ±¸¼öÆò±Õ,60-64¼¼,65¼¼-69¼¼,70¼¼ÀÌ»ó
11470650,»õº®,35261.88293,1131.166048,849.2137718,1266.083149
11470670,»õº®,20166.93165,551.1960476,412.659248,569.9717545
11470680,»õº®,26497.594,830.3008481,665.5306202,949.2478429
11500510,»õº®,34194.0124,976.0840442,629.4507779,779.0308909
11500520,»õº®,23749.11205,666.4647764,437.480486,663.1201056
11500530,»õº®,20278.91852,717.4812745,511.1924365,695.2515933
11500535,»õº®,29291.36521,1025.72328,832.2895524,1322.066694
11500540,»õº®,56858.5102,1866.230046,1444.576319,2185.819808
11500550,»õº®,15558.38308,490.2484699,393.2734468,524.4117473
11500560,»õº®,18991.32559,739.5481461,596.6078298,770.3934335
11500570,»õº®,20777.54183,679.2273525,527.0866147,862.9650737
11500590,»õº®,34084.25782,1032.442104,858.4711257,1201.119389
11500591,»õº®,22752.04618,843.0830432,594.8413028,871.4844554
11500593,»õº®,29166.90659,951.9154418,742.3403013,1089.310658
11500603,»õº®,34403.46282,945.064319,605.8846106,792.8801198
11500604,»õº®,14093.78943,665.1184362,514.8040635,734.3345062
11500605,»õº®,11958.34032,443.1457346,360.2728603,532.1617538
11500611,»õº®,35101.41612,939.5605319,633.9638404,949.5217503
11500615,»õº®,38906.78835,1115.02528,861.0297813,1104.586031
11500620,»õº®,32907.69501,923.0863059,671.4179289,1005.218007
11500630,»õº®,36255.2234,1208.272736,921.4193584,1237.019689
11500640,»õº®,26104.71179,961.9618428,733.592885,1144.76892
11500641,»õº®,20146.25343,759.7358112,547.2935274,751.6399924
11530510,»õº®,32568.0564,860.7875502,746.3342235,975.330319
11530520,»õº®,19717.31131,627.1030262,423.3177307,538.6791034
11530530,»õº®,30300.12291,1203.83784,865.297981,1174.095936
11530540,»õº®,27076.2465,761.1355555,528.3702059,749.1510913
11530550,»õº®,17904.28251,673.2433795,496.0347303,690.8978607
11530560,»õº®,29367.64799,970.2079816,670.6255364,814.1064363
11530595,»õº®,10782.95141,386.1026574,245.267394,312.6009756
11530720,»õº®,23651.99159,812.4441593,625.6914883,882.2284943
11530730,»õº®,22583.37799,799.9910007,579.0369589,876.122546
11530740,»õº®,29557.73106,1082.069022,816.8499987,1210.260807
11530750,»õº®,30358.52911,1090.64507,892.5706945,1322.518228
11530760,»õº®,17767.92563,693.3425087,539.4709666,763.2800245
11530770,»õº®,16230.31497,512.1123524,394.509084,591.6089943
11530780,»õº®,56496.2696,1640.950378,1229.96421,1942.440735
11530790,»õº®,24273.23979,869.9593122,626.8625262,906.4634707
11545510,»õº®,32538.09806,871.5074606,483.3035451,614.6126893
11545610,»õº®,32073.66773,908.6119943,709.9817652,991.4534157
11545620,»õº®,16936.41509,651.8341141,478.7072495,654.1907633
11545630,»õº®,22551.83981,853.8581521,649.8962118,790.9340972
11545640,»õº®,13083.76747,519.3478768,356.3978194,450.974461
11545670,»õº®,27714.58058,960.8804965,729.016714,1076.545105
11545680,»õº®,18473.00519,696.076424,550.0454123,772.5685887
11545690,»õº®,9735.048313,428.5424583,323.048693,409.8572853
11545700,»õº®,16018.51395,588.89824,489.7235844,677.1266426
11545710,»õº®,14010.64044,524.2693268,416.263635,642.7610433
11560515,»õº®,19168.4137,676.8326048,460.1366116,636.6795933
11560535,»õº®,38976.81855,976.8672816,733.7537619,959.9614655
11560540,»õº®,45846.643,1329.053334,1065.201609,1791.701325
11560550,»õº®,20156.88931,591.7704166,472.1825246,657.1217241
