읍면동코드,읍면동,경로당수,복지시설수,총노인시설수
1120068,대방동,12,1,13
1120069,신대방1동,8,0,8
1120070,신대방2동,5,0,5
1120071,흑석동,10,0,10
1120072,노량진1동,20,0,20
1120073,사당2동,6,0,6
1121052,보라매동,3,1,4
1121054,청림동,5,0,5
1121057,행운동,5,0,5
1121058,낙성대동,3,0,3
1121061,중앙동,3,0,3
1121062,인헌동,4,0,4
1121063,남현동,3,0,3
1121064,서원동,4,0,4
1121065,신원동,2,0,2
1121066,서림동,1,0,1
1121068,신사동,3,0,3
1121069,신림동,2,0,2
1121071,난향동,8,0,8
1121072,조원동,5,0,5
1121073,대학동,2,0,2
1121078,은천동,11,0,11
1121079,성현동,8,0,8
1121080,청룡동,5,0,5
1121081,난곡동,5,0,5
1121082,삼성동,8,0,8
1121083,미성동,9,0,9
1122051,서초1동,8,1,9
1122052,서초2동,6,0,6
1122053,서초3동,8,0,8
1122054,서초4동,7,0,7
1122055,잠원동,24,0,24
1122056,반포본동,1,0,1
1122057,반포1동,7,0,7
1122058,반포2동,2,0,2
1122059,반포3동,8,0,8
1122060,반포4동,6,0,6
1122061,방배본동,4,0,4
1122062,방배1동,5,0,5
1122063,방배2동,5,1,6
1122064,방배3동,11,0,11
1122065,방배4동,4,0,4
1122066,양재1동,17,1,18
1122067,양재2동,4,0,4
1122068,내곡동,14,1,15
1123051,신사동,3,0,3
1123052,논현1동,5,1,6
1123053,논현2동,5,0,5
1123058,삼성1동,12,1,13
1123059,삼성2동,10,0,10
1123060,대치1동,13,0,13
1123063,대치4동,6,1,7
1123064,역삼1동,19,1,20
1123065,역삼2동,5,1,6
1123066,도곡1동,11,0,11
1123067,도곡2동,4,1,5
1123068,개포1동,10,0,10
1123071,개포4동,3,0,3
1123072,일원본동,13,0,13
1123073,일원1동,2,0,2
1123074,일원2동,3,0,3
1123075,수서동,9,0,9
1123076,세곡동,20,0,20
1123077,압구정동,9,1,10
1123078,청담동,12,0,12
1123079,대치2동,9,0,9
1123080,개포2동,7,0,7
1124051,풍납1동,6,0,6
1124052,풍납2동,12,0,12
1124053,거여1동,6,0,6
1124054,거여2동,11,0,11
1124055,마천1동,5,0,5
1124056,마천2동,5,0,5
1124057,방이1동,3,0,3
1124058,방이2동,2,0,2
1124059,오륜동,2,0,2
1124060,오금동,16,0,16
1124061,송파1동,5,1,6
1124062,송파2동,5,0,5
1124063,석촌동,3,0,3
1124064,삼전동,2,1,3
1124065,가락본동,8,0,8
1124066,가락1동,5,0,5
1124067,가락2동,11,0,11
1124068,문정1동,6,0,6
1124069,문정2동,3,0,3
1124071,잠실본동,5,0,5
1124075,잠실4동,5,0,5
1124077,잠실6동,3,0,3
1124078,잠실7동,2,0,2
1124079,잠실2동,3,0,3
1124080,잠실3동,6,0,6
1124081,장지동,15,1,16
1124082,위례동,0,0,0
1125051,강일동,12,0,12
1125052,상일동,8,0,8
1125053,명일1동,4,0,4
1125054,명일2동,9,1,10
1125055,고덕1동,9,1,10
1125056,고덕2동,3,0,3
1125058,암사2동,2,0,2
1125059,암사3동,11,0,11
1125061,천호1동,5,0,5
1125063,천호3동,4,0,4
1125065,성내1동,12,0,12
1125066,성내2동,3,0,3
1125067,성내3동,1,0,1
1125070,둔촌1동,8,0,8
1125071,둔촌2동,6,0,6
1125072,암사1동,9,0,9
1125073,천호2동,14,1,15
1125074,길동,9,0,9
