행정동코드,읍면동코드,자치행정동,자치구,행정동,거주인구수,낮생활인구비율,총노인시설수,접근성지표,이용편리지표
11305610,1109063,강북구 수유1동,강북구,수유1동,4348,0.076932536,5,10.58330549,15
11305620,1109064,강북구 수유2동,강북구,수유2동,4754,0.083638588,5,5.911078611,5
11305630,1109065,강북구 수유3동,강북구,수유3동,4571,0.069653118,4,12.7841657,10
11305534,1109069,강북구 삼양동,강북구,삼양동,4818,0.075440022,14,7.834328345,15
11305535,1109070,강북구 미아동,강북구,미아동,4404,0.079296813,7,9.386355484,12.5
11305545,1109071,강북구 송중동,강북구,송중동,5893,0.070979147,6,12.55190018,20
11305555,1109072,강북구 송천동,강북구,송천동,6081,0.07698215,10,8.659152216,12.5
11305575,1109073,강북구 삼각산동,강북구,삼각산동,4301,0.060049392,5,19.83855338,0
11305645,1109074,강북구 우이동,강북구,우이동,4728,0.082819389,4,14.30971315,10
11305660,1109075,강북구 인수동,강북구,인수동,6908,0.076962948,8,9.721192909,15
11320660,1110051,도봉구 쌍문1동,도봉구,쌍문1동,4475,0.074935005,14,5.616365511,5
11320670,1110052,도봉구 쌍문2동,도봉구,쌍문2동,3786,0.072067378,8,5.522309293,12.5
11320680,1110053,도봉구 쌍문3동,도봉구,쌍문3동,3438,0.068120696,7,7.741287395,5
11320681,1110054,도봉구 쌍문4동,도봉구,쌍문4동,2976,0.06596847,11,3.580703454,2.5
11320690,1110055,도봉구 방학1동,도봉구,방학1동,5663,0.076192906,11,8.238566758,7.5
11320700,1110056,도봉구 방학2동,도봉구,방학2동,4252,0.083084399,5,2.226196934,15
11320710,1110057,도봉구 방학3동,도봉구,방학3동,4905,0.078432553,16,7.67194433,2.5
11320511,1110059,도봉구 창1동,도봉구,창1동,4495,0.070918723,6,4.216668948,10
11320512,1110060,도봉구 창2동,도봉구,창2동,5118,0.068542995,7,5.660995424,12.5
11320513,1110061,도봉구 창3동,도봉구,창3동,2893,0.069552291,6,2.887272797,5
11320514,1110062,도봉구 창4동,도봉구,창4동,4147,0.072986527,8,7.741287395,15
11320515,1110063,도봉구 창5동,도봉구,창5동,4221,0.07034763,12,12.51600538,7.5
11320521,1110064,도봉구 도봉1동,도봉구,도봉1동,5635,0.106263303,11,11.13909761,15
11320522,1110065,도봉구 도봉2동,도봉구,도봉2동,6356,0.085823592,14,14.88594473,15
11350560,1111051,노원구 월계1동,노원구,월계1동,4124,0.063530085,18,24.36815961,15
11350570,1111052,노원구 월계2동,노원구,월계2동,5754,0.075130398,7,11.03334399,2.5
11350580,1111053,노원구 월계3동,노원구,월계3동,5984,0.071365472,11,18.36506205,0
11350600,1111056,노원구 공릉2동,노원구,공릉2동,5209,0.048581303,22,14.386053,0
11350611,1111058,노원구 하계1동,노원구,하계1동,4390,0.05896046,12,10.90180261,5
11350612,1111059,노원구 하계2동,노원구,하계2동,3154,0.059836102,4,8.542245158,0
11350619,1111060,노원구 중계본동,노원구,중계본동,2527,0.037324195,14,4.690842884,7.5
11350621,1111061,노원구 중계1동,노원구,중계1동,2289,0.041312582,13,6.348540337,5
11350624,1111064,노원구 중계4동,노원구,중계4동,3974,0.065287486,10,3.828809907,5
11350630,1111065,노원구 상계1동,노원구,상계1동,6854,0.07420454,21,11.34334711,7.5
11350640,1111066,노원구 상계2동,노원구,상계2동,3277,0.062717442,12,17.6874695,10
11350670,1111069,노원구 상계5동,노원구,상계5동,4937,0.075043265,6,8.278644015,2.5
11350700,1111072,노원구 상계8동,노원구,상계8동,2822,0.057758393,4,7.099811898,2.5
11350710,1111073,노원구 상계9동,노원구,상계9동,3380,0.062044832,4,6.741218666,7.5
11350720,1111074,노원구 상계10동,노원구,상계10동,2574,0.059347703,6,8.336109177,5
11350665,1111076,노원구 상계3.4동,노원구,상계3.4동,6084,0.088743498,13,8.586452261,15
11350695,1111077,노원구 상계6.7동,노원구,상계6.7동,4943,0.05830846,9,8.639040213,22.5
11350625,1111078,노원구 중계2.3동,노원구,중계2.3동,7269,0.061872915,10,11.88448343,15
11350595,1111079,노원구 공릉1동,노원구,공릉1동,6361,0.066826104,19,22.23021254,2.5
11380510,1112051,은평구 녹번동,은평구,녹번동,6848,0.067367303,10,18.72265206,7.5
11380520,1112052,은평구 불광1동,은평구,불광1동,7611,0.076916522,13,6.812782198,2.5
11380551,1112055,은평구 갈현1동,은평구,갈현1동,4392,0.069885873,5,15.26280382,2.5
11380552,1112056,은평구 갈현2동,은평구,갈현2동,4909,0.058775893,7,9.270398233,2.5
11380560,1112057,은평구 구산동,은평구,구산동,6055,0.063235303,5,8.462773352,7.5
11380570,1112058,은평구 대조동,은평구,대조동,5040,0.067080142,5,23.47577315,0
