,행정동코드,읍면동코드,자치행정동,자치구,행정동,거주인구수,거주인구비율,새벽생활인구수,새벽생활인구비율,아침생활인구수,아침생활인구비율,낮생활인구수,낮생활인구비율,저녁생활인구수,저녁생활인구비율,밤생활인구수,밤생활인구비율,총노인시설수
0,11110530,1101053,종로구 사직동,종로구,사직동,1834.0,0.1869,875.8710102,0.06263754449122948,1104.030338,0.05633982753677953,1437.354717,0.042983869262297594,1144.439123,0.04317874594468982,922.2042533,0.055170902971016726,0.0
1,11110540,1101054,종로구 삼청동,종로구,삼청동,641.0,0.2287,298.8502078,0.06779860862660067,319.41439239999994,0.06240777888658069,358.0212188,0.04710399321636602,279.70140019999997,0.049051517278374916,269.7568445,0.06346941864080802,2.0
2,11110550,1101055,종로구 부암동,종로구,부암동,1763.0,0.1751,1035.308758,0.06665240563180934,1028.421995,0.06654452506907349,925.1506194,0.06424838255143768,975.8579412,0.06755152763641338,1048.022034,0.0676856286145049,1.0
3,11110560,1101056,종로구 평창동,종로구,평창동,3407.0,0.1843,1379.958999,0.06891024853134152,1439.653999,0.07047377644383805,1406.4737289999998,0.07316079050068502,1373.420901,0.07316418082226855,1403.2747359999998,0.07044572186668852,6.0
4,11110570,1101057,종로구 무악동,종로구,무악동,1380.0,0.1638,530.9410774,0.06192584545978719,509.56415549999997,0.06264430355423495,420.14628619999996,0.06753870729692496,437.2822137,0.06977542014388038,500.0274346,0.06415036224035668,2.0
5,11110580,1101058,종로구 교남동,종로구,교남동,1584.0,0.1525,352.7444191,0.05514988039957686,360.4930296,0.05407842568209029,359.8478131,0.056831177286211655,374.4383183,0.05776235186445587,386.9977893,0.057314454695586846,2.0
6,11110600,1101060,종로구 가회동,종로구,가회동,876.0,0.2039,306.449589,0.06037724446848405,314.01380710000007,0.048694093179909324,360.87758660000003,0.038893633749464813,307.51698089999996,0.046625539322913495,297.0951911,0.05844951863642113,3.0
7,11110615,1101061,종로구 종로1.2.3.4가동,종로구,종로1.2.3.4가동,1942.0,0.2298,1182.2492869999999,0.05916445638808684,1882.779841,0.05378996234986584,4921.649086,0.054378242859224615,3129.18747,0.04670902008747215,1475.3443949999998,0.04990753264600996,15.0
8,11110630,1101063,종로구 종로5.6가동,종로구,종로5.6가동,,,625.5094551,0.06502093807005167,902.6085979000001,0.06914131132520429,1866.333818,0.07282082618319237,1176.267087,0.06641680580274827,719.2095702,0.06484260260909601,5.0
9,11110640,1101064,종로구 이화동,종로구,이화동,1340.0,0.1697,944.3972185,0.06188422717497255,1139.363427,0.059728377193716486,1562.030246,0.05063297608834248,1067.202205,0.04521795037130212,952.3576041000001,0.05622939856617472,6.0
10,11110670,1101067,종로구 창신1동,종로구,창신1동,1266.0,0.2164,630.8410069,0.06808780086642938,655.5311333999999,0.07359120014697389,870.3729468,0.08315149740252835,686.200689,0.07499358470253291,622.7900544,0.07054929807253375,3.0
11,11110680,1101068,종로구 창신2동,종로구,창신2동,1793.0,0.1909,786.3799761,0.07099386772054511,732.6973119,0.0709013235265486,665.6489735,0.0733708231625484,693.509707,0.07542812167138849,736.1593889999999,0.07216451154314452,3.0
12,11110690,1101069,종로구 창신3동,종로구,창신3동,1206.0,0.1741,338.59641489999996,0.062441691737514154,330.5875537,0.06092624717657629,259.65986069999997,0.062060027118530335,295.2713201,0.0672036198993025,323.2925188,0.0635497028934382,4.0
13,11110700,1101070,종로구 숭인1동,종로구,숭인1동,1206.0,0.1903,517.7808331,0.06661475421368346,512.5161228000001,0.06599289297443138,593.8146839,0.07261342958108706,588.0454308,0.06881330620891166,552.9821811,0.06653287448630182,2.0
14,11110710,1101071,종로구 숭인2동,종로구,숭인2동,1607.0,0.1599,781.1119669999999,0.06129410089586253,830.7712389,0.0628596740886211,1211.823708,0.07716909239250218,898.0075144,0.06961839749837298,782.5512981,0.06328149473587749,2.0
15,11110515,1101072,종로구 청운효자동,종로구,청운효자동,2149.0,0.1749,778.6832991,0.05348991066771454,813.2383535,0.051434173659093294,832.1326487000001,0.04741832490066188,772.7551411000001,0.05067178115949994,783.758793,0.054571156070527135,2.0
16,11110650,1101073,종로구 혜화동,종로구,혜화동,2715.0,0.1399,1222.935881,0.0456916418938821,1226.723108,0.04566300170054755,1213.289525,0.04133262292707275,1201.393894,0.03918707089225768,1202.231567,0.04325713600598539,6.0
17,11140520,1102052,중구 소공동,중구,소공동,300.0,0.0966,281.4560236,0.04235802594581896,609.982756,0.036904570536477874,1291.4414160000001,0.028698044500294454,665.7976151,0.026031419849416117,326.6722559,0.035787501205954704,1.0
18,11140540,1102054,중구 회현동,중구,회현동,1564.0,0.2726,506.8070181,0.06468490528269748,912.2864810000001,0.05940374049949561,2076.359173,0.05037282621460562,993.9908849,0.041554876070523786,607.3816691000001,0.054514619329771086,4.0
19,11140550,1102055,중구 명동,중구,명동,791.0,0.213,358.50683860000004,0.04696161461954638,785.3516772999999,0.04161930456097191,1652.531623,0.031839303416954026,885.2525608999999,0.02693311261471297,447.20987139999994,0.03725242579930606,0.0
20,11140570,1102057,중구 필동,중구,필동,884.0,0.1889,282.36510510000005,0.04388772101692805,391.13955830000003,0.046530735355443845,638.7798831,0.041554859925156194,416.1322272,0.03664435896932243,288.7668168,0.03973062985975113,1.0
21,11140580,1102058,중구 장충동,중구,장충동,854.0,0.1611,372.8523777,0.052147007298489714,490.81966009999996,0.055926430925343856,697.8580009,0.05176823646357255,515.9388368,0.04988516213316612,408.6642168,0.05267346737339457,2.0
22,11140590,1102059,중구 광희동,중구,광희동,1225.0,0.188,671.4612466,0.050158519039584126,939.8572182,0.058204834415977263,1645.465912,0.055764145562434586,1060.918181,0.045526130686941266,754.4819437000001,0.0467426448968402,3.0
23,11140605,1102060,중구 을지로동,중구,을지로동,511.0,0.2625,392.0955162,0.06603200241975281,775.9604153,0.07133763589008625,1946.250146,0.07289694852190325,1039.316701,0.059020628027110306,467.5736033,0.05837070887077673,1.0
24,11140650,1102065,중구 신당5동,중구,신당5동,1827.0,0.1684,612.2819843999999,0.05826107442183085,617.9474437000001,0.05757951516082874,694.0541886,0.06177650819420671,729.6326912999999,0.06025095093660774,654.6928537,0.05896386537176113,6.0
25,11140670,1102067,중구 황학동,중구,황학동,2045.0,0.1515,715.0973275,0.053588768160184624,760.5635162000001,0.05601937348333124,925.4245295,0.06685939532491791,800.2482115,0.06095207788782774,723.6800636,0.055385072754843216,2.0
26,11140680,1102068,중구 중림동,중구,중림동,2130.0,0.1688,460.92077170000005,0.057675648633643065,502.2820863,0.05821326587188524,560.1391328,0.0512515969530625,458.79515779999997,0.050395184617935046,424.43634929999996,0.05422104237192356,4.0
