자치구,동,전체인구,거주인구수,거주인구비율
금천구,시흥1동,35104,6105,0.1739
금천구,시흥2동,21672,3935,0.1816
금천구,시흥3동,11101,2307,0.2078
금천구,시흥4동,21281,4048,0.1902
금천구,시흥5동,20083,4310,0.2146
영등포구,여의동,33851,6064,0.1791
영등포구,당산1동,20995,3333,0.1588
영등포구,당산2동,37660,4579,0.1216
영등포구,양평1동,17694,2331,0.1317
영등포구,양평2동,22466,2477,0.1103
영등포구,신길1동,18783,3270,0.1741
영등포구,신길3동,17801,3079,0.173
영등포구,신길4동,13047,2236,0.1714
영등포구,신길5동,12110,2046,0.169
영등포구,신길6동,20002,3229,0.1614
영등포구,신길7동,20198,2431,0.1204
영등포구,대림1동,17405,3140,0.1804
영등포구,대림2동,18892,3110,0.1646
영등포구,대림3동,26459,4456,0.1684
영등포구,영등포본동,23331,4091,0.1753
영등포구,영등포동,29091,3407,0.1171
영등포구,도림동,20197,3302,0.1635
영등포구,문래동,33088,4616,0.1395
동작구,노량진2동,13476,2698,0.2002
동작구,상도1동,46152,6907,0.1497
동작구,상도2동,28825,4453,0.1545
동작구,상도3동,25137,4325,0.1721
동작구,상도4동,29138,4945,0.1697
동작구,사당1동,23419,3694,0.1577
동작구,사당3동,25056,4370,0.1744
동작구,사당4동,14441,2638,0.1827
동작구,사당5동,14715,2256,0.1533
동작구,대방동,38852,5694,0.1466
동작구,신대방1동,25459,3819,0.15
동작구,신대방2동,20142,3032,0.1505
동작구,흑석동,33747,5587,0.1656
동작구,노량진1동,32233,5678,0.1762
동작구,사당2동,27413,5300,0.1933
관악구,보라매동,24978,4423,0.1771
관악구,청림동,15451,2688,0.174
관악구,행운동,29546,4314,0.146
관악구,낙성대동,17495,1951,0.1115
관악구,중앙동,15565,2346,0.1507
관악구,인헌동,26334,3975,0.1509
관악구,남현동,18358,2734,0.1489
관악구,서원동,23324,3258,0.1397
관악구,신원동,18999,3215,0.1692
관악구,서림동,24019,3458,0.144
관악구,신사동,25008,3516,0.1406
관악구,신림동,22543,1934,0.0858
관악구,난향동,15664,2693,0.1719
관악구,조원동,18875,2819,0.1494
관악구,대학동,24811,2938,0.1184
관악구,은천동,34197,5809,0.1699
관악구,성현동,30033,5249,0.1748
관악구,청룡동,36313,4408,0.1214
관악구,난곡동,27800,5324,0.1915
관악구,삼성동,23232,5611,0.2415
관악구,미성동,31595,5737,0.1816
서초구,서초1동,20991,2998,0.1428
서초구,서초2동,22316,2634,0.118
서초구,서초3동,32454,4688,0.1445
서초구,서초4동,31476,4094,0.1301
서초구,잠원동,27983,3344,0.1195
서초구,반포본동,11512,1867,0.1622
서초구,반포1동,32387,3590,0.1108
서초구,반포2동,16047,1899,0.1183
서초구,반포3동,22406,2936,0.131
서초구,반포4동,19822,2839,0.1432
서초구,방배본동,21199,3037,0.1433
서초구,방배1동,17180,2818,0.164
서초구,방배2동,20092,3463,0.1724
서초구,방배3동,20641,3634,0.1761
서초구,방배4동,23897,3449,0.1443
서초구,양재1동,44227,6813,0.154
서초구,양재2동,22489,2889,0.1285
서초구,내곡동,17984,3217,0.1789
강남구,신사동,16615,2955,0.1779
강남구,논현1동,23427,2949,0.1259
