행정동,경도,위도
돈암1동,127.03000231200001,37.613765142
돈암1동,127.0216800673,37.5988124984
돈암1동,127.0180870417,37.5937751071
돈암1동,127.0287005024,37.6197095673
돈암1동,127.0241845482,37.6036093788
돈암1동,127.02823204799999,37.6068897684
돈암1동,127.0147214546,37.6035333244
돈암1동,127.0331233065,37.6014694388
돈암1동,127.0342434232,37.5992522052
돈암1동,127.0214008015,37.6181055358
돈암1동,127.01440939129999,37.5906588219
돈암1동,127.0092102337,37.5898834226
돈암1동,127.019299,37.585282
돈암1동,127.0173202731,37.5882905568
돈암1동,127.00984891700001,37.6084714968
돈암1동,127.0114514047,37.605178794000004
돈암1동,127.0367938167,37.5888049152
돈암1동,127.023933,37.601972
돈암1동,127.0313059234,37.6059147758
돈암1동,127.00844521129999,37.61157851
돈암1동,127.02854238360001,37.6171719852
돈암1동,127.0252509718,37.6181643071
돈암1동,127.0357831859,37.5948209235
돈암1동,127.0316635859,37.5851062255
돈암1동,127.03605235549999,37.594378876
돈암1동,127.0162659964,37.593399898
돈암1동,127.0076356941,37.605823975700005
돈암1동,127.019175285,37.602358249
돈암1동,127.011024,37.604761
돈암1동,127.0316605575,37.6164471234
돈암1동,127.0321633111,37.6100659535
돈암1동,127.0347492384,37.5881642203
돈암1동,127.0150321421,37.5968524981
돈암1동,127.0353400807,37.6105762289
돈암1동,127.0366654139,37.6066346712
돈암1동,127.013771643,37.6006378138
돈암1동,127.02209415889999,37.6154581102
돈암1동,127.0220826076,37.6115374602
돈암1동,127.0233780096,37.6078573327
돈암1동,127.03608017559999,37.612149839000004
돈암1동,127.03578315909999,37.6118940155
돈암1동,127.04048906530001,37.614406225399996
돈암1동,127.0263858735,37.6038916874
돈암1동,127.0349190878,37.588491248400004
돈암1동,127.0374580008,37.6041484498
돈암1동,127.0351662979,37.6028019378
돈암1동,127.0244725057,37.6020310968
돈암1동,127.0378313277,37.5875196731
돈암1동,127.0180402287,37.602794832
돈암1동,127.042305076,37.602843959299996
돈암1동,127.0254858421,37.5863118607
돈암1동,127.0223717498,37.5862576795
돈암1동,127.0080361564,37.6123208475
돈암1동,127.01342079690001,37.6025035348
돈암1동,127.0165522454,37.592004085700005
돈암1동,127.008269487,37.6120632959
돈암1동,127.0293074582,37.607859421
돈암1동,127.030862,37.614651
돈암1동,127.0326975602,37.6115440433
돈암1동,127.00940617180001,37.6002355214
돈암1동,127.0321966828,37.6099865112
돈암1동,127.03571504840001,37.6094604036
돈암1동,127.03927669030001,37.6024463392
