행정동,경도,위도
돈암1동,127.014693774983,37.5866894413734
돈암1동,127.03657003325199,37.586211669735896
돈암1동,127.02586562061,37.604100984888
돈암1동,127.02975368063,37.60767159267221
돈암1동,127.032681272833,37.5999439262506
돈암1동,127.027026752103,37.5956755595484
돈암1동,127.032879918297,37.598448226162795
돈암1동,127.033624161529,37.6116204905392
돈암1동,127.033465338143,37.61103669477721
돈암1동,127.03348801711901,37.6110979556023
돈암1동,127.014816265643,37.5991834807565
돈암1동,127.02515342264,37.614563427475204
돈암1동,127.04125610735399,37.600391735735606
돈암1동,127.01145232699899,37.609238905503396
돈암1동,127.038793754331,37.6125415170418
돈암1동,127.00941361179301,37.608219165632796
돈암1동,127.00680428011299,37.608478829912
돈암1동,127.03647196606899,37.584780923192895
망우3동,127.087665326379,37.583557485837495
망우3동,127.093639655939,37.5807886504695
망우3동,127.09310753355601,37.5898566625804
망우3동,127.09311937967699,37.5993639139135
망우3동,127.09152819611099,37.6066244356177
망우3동,127.08795748963199,37.5940214055264
망우3동,127.084225181208,37.593031222341
망우3동,127.090038824474,37.5943063386107
망우3동,127.095764829753,37.5994951436662
망우3동,127.097226613442,37.5985136707072
망우3동,127.08943692425301,37.591881326841005
망우3동,127.09815255500601,37.59652351647609
망우3동,127.084216114675,37.5930240208772
망우3동,127.094917152726,37.5918581262721
망우3동,127.10283469149799,37.59229928663579
망우3동,127.09908803202299,37.5915141236559
망우3동,127.094917204219,37.5918986708595
망우3동,127.099213100703,37.60043292944921
망우3동,127.10193009397,37.6031660204211
망우3동,127.10025501611601,37.6005032272381
망우3동,127.10220175870899,37.599763646358795
망우3동,127.10827139317101,37.6028540367437
망우3동,127.099688299574,37.5958780207484
망우3동,127.096354820741,37.5898432445114
반포본동,126.98315696178699,37.5177763125378
반포본동,126.992190421568,37.5179610599608
반포본동,126.996097893442,37.5098882578825
반포본동,126.98641673062001,37.5066565379329
반포본동,126.983085151455,37.4951367464176
반포본동,126.985997106902,37.4946731089069
반포본동,126.982521845675,37.4958061124791
반포본동,126.985397462062,37.49627772943821
반포본동,126.98012184431299,37.5057483341571
반포본동,126.97711857646799,37.5037079144042
반포본동,126.989209714326,37.4949545601714
반포본동,126.998769633545,37.497036372100396
반포본동,127.0003121167,37.4974400290287
반포본동,126.99778349853001,37.4981355856378
반포본동,126.980841197992,37.5055583409112
반포본동,126.995675464587,37.499796982864
반포본동,126.995340440937,37.5042911871174
반포본동,126.996018989701,37.50481469608821
반포본동,126.995796203543,37.5045524957959
반포본동,126.995792809738,37.5045687137728
부암동,126.981291031756,37.588244887712605
부암동,126.970600284052,37.583078217255895
부암동,126.969653395711,37.584087090130794
부암동,126.97052969961,37.5840701932904
부암동,126.967756911511,37.5817043607677
부암동,126.960636624373,37.5930547092363
부암동,126.964660027032,37.5803808155186
부암동,126.950676884574,37.5930617793773
부암동,126.948193483372,37.595071728832
부암동,126.949540788207,37.5986798813401
부암동,126.947663731751,37.5883464908343
부암동,126.949185630264,37.6014043249341
부암동,126.977528483895,37.6113267157834
부암동,126.97489659666701,37.6106477404696
부암동,126.957291606827,37.611224721395104
부암동,126.95654013091101,37.612215534909396
부암동,126.942994393506,37.5913365234674
부암동,126.943236690362,37.5913501551191
부암동,126.94283144634599,37.5912048998189
부암동,126.949866698239,37.6057545968434
부암동,126.949554435255,37.5985933920429
부암동,126.949181017199,37.6015268576575
성내3동,127.116284228762,37.5414490371922
성내3동,127.120590152598,37.5466678089626
성내3동,127.12202872603599,37.5447751350023
성내3동,127.125561091527,37.537788687611204
성내3동,127.12302623113199,37.5403141545189
성내3동,127.116072001966,37.535931523655
성내3동,127.120153119188,37.5352390777512
성내3동,127.125591471241,37.5437586768469
성내3동,127.12825428988899,37.533344763860995
성내3동,127.124127667308,37.5303659600063
성내3동,127.133292913041,37.538713649246205
성내3동,127.129858369319,37.531246382553604
성내3동,127.13221428650101,37.54301443023589
성내3동,127.134119875695,37.5405255237704
성내3동,127.13334701567699,37.53287781106
성내3동,127.106285516791,37.525089080396704
성내3동,127.127961739859,37.5309781525776
성내3동,127.133713831478,37.528578721548904
성내3동,127.137324995196,37.5081920960884
성내3동,127.14365415698299,37.538271722828796
성내3동,127.136659774656,37.54468162287171
성내3동,127.149457737265,37.5293284007533
