행정동,경도,위도
돈암1동,127.021139026425,37.6156943247238
돈암1동,127.021741379374,37.6161238065432
돈암1동,127.026678655065,37.61275742103409
돈암1동,127.039762529212,37.5905325185543
돈암1동,127.012706037821,37.5944725333435
돈암1동,127.03796418183599,37.6008411734995
돈암1동,127.022224666371,37.597038770303705
돈암1동,127.02313954152599,37.598992754110895
돈암1동,127.024973857612,37.6093534067567
돈암1동,127.038709467417,37.6074738406161
돈암1동,127.020847622389,37.611323860359896
돈암1동,127.01622347427,37.6100441909211
돈암1동,127.03251299820101,37.596303067775395
돈암1동,127.021033925155,37.6092896639058
돈암1동,127.036913604861,37.609947091433604
돈암1동,127.04173679166401,37.5975081254608
돈암1동,127.01387180106701,37.5849018806257
돈암1동,127.017866208389,37.6032285064084
돈암1동,127.029751253435,37.5981647936001
돈암1동,127.022009385841,37.60504924822629
돈암1동,127.019323702394,37.6094417730405
돈암1동,127.039226934965,37.5993136713173
돈암1동,127.02094804099801,37.6026965054255
돈암1동,127.034640459594,37.60142892091429
돈암1동,127.006891004638,37.60695011574271
돈암1동,127.03099044572599,37.6050587642973
돈암1동,127.017453841298,37.583666504014296
돈암1동,127.022327743122,37.599797495352796
돈암1동,127.012012091133,37.6018578498862
돈암1동,127.01362548713199,37.598830255568
돈암1동,127.01789111829599,37.5828731138796
돈암1동,127.009490852009,37.5877262061726
돈암1동,127.02878397742,37.611986670890005
돈암1동,127.015458405282,37.60992599372221
망우3동,127.093430676323,37.58007117471929
망우3동,127.09160976769199,37.6058186173408
망우3동,127.094904201668,37.6092975270629
망우3동,127.098976905071,37.60976900283671
망우3동,127.09162414248101,37.5983328190955
반포본동,126.977148222194,37.4910414805382
반포본동,126.96451251384501,37.505179835932296
반포본동,126.966284444741,37.5040994188129
반포본동,126.995965286053,37.50239026845939
반포본동,126.992673104135,37.5062519997568
반포본동,127.00805997356701,37.5101774500185
부암동,126.95190891783899,37.5946849738052
부암동,126.945620839841,37.5958254221961
부암동,126.949957261207,37.585857051513294
부암동,126.94879449863501,37.5883357243751
부암동,126.944456625497,37.5984834346677
부암동,126.941167410528,37.594570187466005
부암동,126.944654295681,37.5990017774988
성내3동,127.13481141613701,37.5378655264436
성내3동,127.125536352486,37.5415920129665
성내3동,127.12942446783998,37.538369715971704
성내3동,127.127965319697,37.5271796181821
역촌동,126.93567596888,37.6115390949586
역촌동,126.92686545942101,37.5980401983599
역촌동,126.90427946896,37.60513474723739
역촌동,126.925757582129,37.616343199117
역촌동,126.925288376559,37.5895653847943
역촌동,126.92425104718201,37.5895280532664
역촌동,126.924735950187,37.5890048869464
역촌동,126.926085881492,37.59831847931221
역촌동,126.932470564865,37.613132054416795
역촌동,126.936049338482,37.6059014471279
역촌동,126.905318917808,37.5962458737887
역촌동,126.92227448589,37.58941333334521
역촌동,126.93594782950899,37.60198244562979
역촌동,126.93595580988199,37.6028449679876
역촌동,126.908770078234,37.5981158955891
역촌동,126.91939457024,37.595228565096704
역촌동,126.921619781742,37.5927972064559
오륜동,127.127965319697,37.5271796181821
오륜동,127.128715307586,37.50889817769679
오륜동,127.134828192603,37.508337240923794
오륜동,127.138029800548,37.5063859322325
일원1동,127.07509618312099,37.495752092135
일원1동,127.09099139600599,37.4931540384403
일원1동,127.105630698531,37.487978814880705
일원1동,127.107203475559,37.486600928841895
일원1동,127.07962422520399,37.4895410084374
일원1동,127.06415338276199,37.480057578933
일원1동,127.067960222798,37.4844402093504
일원1동,127.102531804188,37.4976145695004
잠실7동,127.07509618312099,37.495752092135
잠실7동,127.07962422520399,37.4895410084374
장위2동,127.03647592791799,37.6184115650264
장위2동,127.03446065010401,37.616937523560296
장위2동,127.05966412459499,37.6292472102426
장위2동,127.067796621969,37.6015332826351
장위2동,127.06286740810499,37.6048015601149
장위2동,127.06335411761299,37.6031629394921
장위2동,127.03796418183599,37.6008411734995
장위2동,127.04561195862301,37.608772493692605
장위2동,127.038709467417,37.6074738406161
장위2동,127.047698413283,37.6227404118122
장위2동,127.036913604861,37.609947091433604
장위2동,127.04173679166401,37.5975081254608
장위2동,127.054866914628,37.60915931290379
장위2동,127.039226934965,37.5993136713173
장위2동,127.034640459594,37.60142892091429
장위2동,127.046528885296,37.618986733909296
장위2동,127.06226739938299,37.606543221237104
장위2동,127.052253351246,37.6179215325736
장위2동,127.051719017992,37.6212857858679
장위2동,127.07333872202601,37.6132804037442
중곡3동,127.06100563147801,37.5686194800469
중곡3동,127.063777776392,37.57105800038629
중곡3동,127.066994327968,37.5756742674357
중곡3동,127.065353778228,37.5654420441831
중곡3동,127.093430676323,37.58007117471929
중곡3동,127.088301152119,37.5741674853751
중곡3동,127.087074184814,37.5718558136838
홍제3동,126.95190891783899,37.5946849738052
홍제3동,126.945620839841,37.5958254221961
홍제3동,126.949957261207,37.585857051513294
홍제3동,126.94879449863501,37.5883357243751
홍제3동,126.938208039041,37.5972184006335
홍제3동,126.944456625497,37.5984834346677
홍제3동,126.940908608914,37.58505729176861
홍제3동,126.941167410528,37.594570187466005
홍제3동,126.944491273195,37.5846147512232
홍제3동,126.944654295681,37.5990017774988
홍제3동,126.93594782950899,37.60198244562979
홍제3동,126.93595580988199,37.6028449679876
홍제3동,126.95912689357999,37.575096680697996
