구명,단지명,주택유형,세대수,주소,우편번호,경도,위도,H/B,행정동,행정동_경도,행정동_위도
강동구,강일지구10단지(강일리버파크10단지),국민장기,694,고덕로97길 20 (강일동 강일리버파크),5215,127.1799976,37.55920849,H,강일동,127.1739197,37.56494469
강동구,강일지구7단지(강일리버파크7단지),국민장기,731,아리수로98길 25 (강일동 강일리버파크7단지아파트),5214,127.178359,37.56527657,H,강일동,127.1739197,37.56494469
강동구,강일지구5단지(강일리버파크5단지),국민장기,722,아리수로97길 20 (강일동 강일리버파크5단지아파트),5209,127.1781372,37.56851427,H,강일동,127.1739197,37.56494469
강동구,고덕아이파크,재건축,1142,동남로79길 26 (고덕동 고덕아이파크),5232,127.1537442,37.55918388,H,고덕1동,127.151502,37.55726306
강동구,고덕리엔파크1단지,국민장기,605,상일로 152 (강일동 고덕리엔파크1단지아파트),5218,127.1713462,37.56163549,H,강일동,127.1739197,37.56494469
강동구,고덕리엔파크2단지,국민장기,636,고덕로 427 (강일동 고덕리엔파크2단지아파트),5217,127.1731822,37.55879729,H,강일동,127.1739197,37.56494469
강동구,고덕리엔파크3단지,국민장기,2283,상일로 74 (상일동 고덕리엔파크3단지아파트),5287,127.1747855,37.55136837,H,상일2동,127.1776015,37.55201172
강동구,강일지구 11단지(행복주택),행복(공사 건설형),346,고덕로97길 100 (강일동 강일리버파크11단지),5214,127.1799929,37.562735,H,강일동,127.1739197,37.56494469
강동구,강일2 도시형생활주택(준주거2)(임대),기타임대,76,상일로12길 89 (강일동 리엔타운),5285,127.1728866,37.55637071,H,상일2동,127.1776015,37.55201172
강동구,올림픽파크한양수자인,재건축,482,성내로 80 (성내동 올림픽파크한양수자인),5401,127.1279653,37.52717962,H,성내1동,127.1224218,37.53047946
강동구,고덕래미안힐스테이트,재건축,3658,아리수로50길 50 (고덕동 래미안힐스테이트고덕),4731,127.1486002,37.55768914,H,고덕1동,127.151502,37.55726306
강동구,고덕숲아이파크,재건축,687,고덕로80길 134(상일동 고덕숲아이파크) ,5277,127.164857,37.55171846,H,상일1동,127.1646204,37.550643
강동구,래미안 명일역 솔베뉴(삼익그린),행복(재건축),1900,강동구 양재대로 1650(명일동 309-1),5226,127.1459181,37.55438988,H,명일1동,127.1460822,37.54980603
강동구,고덕 그라시움(고덕2),행복(재건축),4932,강동구 동남로82길 98(고덕동 220),5224,127.1593233,37.55618058,H,고덕2동,127.164366,37.56052548
강북구,래미안수유(수유2),재개발,180,한천로159길 8 (수유동 래미안수유아파트),1040,127.0186552,37.64445476,H,수유2동,127.0199332,37.64466097
강북구,SK북한산시티(미아1-1),재개발,1497,솔샘로 174 (미아동 SK북한산시티아파트),1192,127.0105997,37.61763836,H,삼각산동,127.020836,37.61505441
강북구,미아벽산(미아1-2),재개발,490,솔샘로 159 (미아동 벽산라이브파크),1191,127.0124075,37.62182327,H,삼양동,127.018388,37.62734428
강북구,삼각산아이원(미아5),재개발,673,삼양로19길 113 (미아동 삼각산아이원아파트),1198,127.0177233,37.61705556,H,삼각산동,127.020836,37.61505441
강북구,미아SH-Ville(미아2),재개발,57,삼양로 246-14 (미아동 미아 에스에이치빌 아파트),1127,127.0191972,37.62542136,H,삼양동,127.018388,37.62734428
강북구,래미안트리베라1차(래미안트리베라6),재개발,1247,삼양로19길 25 (미아동 삼성래미안트리베라1차아파트),1200,127.021139,37.61569432,H,삼각산동,127.020836,37.61505441
강북구,래미안트리베라2차(래미안트리베라12),재개발,1330,삼양로27길 19 (미아동 삼성래미안트리베라아파트),1195,127.0217414,37.61612381,H,삼각산동,127.020836,37.61505441
강북구,송천동부(미아10-1),재개발,376,숭인로 39 (미아동 송천센트레빌),1213,127.0266787,37.61275742,H,송천동,127.023868,37.6183082
강북구,미아두산위브트레지움(미아8),재개발,1370,삼양로27길 95 (미아동 두산위브트레지움아파트),1197,127.0157553,37.61835218,H,삼각산동,127.020836,37.61505441
강북구,수유장기전세(프레비스타),장기전세,18,인수봉로 101 (수유동 프레비스타),1096,127.0126119,37.62896556,H,수유1동,127.0176092,37.63005817
강북구,꿈의숲 롯데캐슬(미아4),재개발행복(리츠2호),615,오현로 56(미아동 꿈의숲 롯데캐슬),1232,127.0364759,37.61841157,H,송중동,127.0337938,37.61612899
강북구,꿈의숲해링턴플레이스(미아9-1),행복(재건축),1028,강북구 오현로 45(미아동 3-770),1155,127.0344607,37.61693752,H,송중동,127.0337938,37.61612899
강서구,가양9,공공임대,914,허준로 224 (가양동 가양9단지아파트),7532,126.8628195,37.55999969,H,가양3동,126.8605419,37.56105848
강서구,가양4,영구임대,1998,양천로57길 37 (가양동 가양4단지아파트),7527,126.8520692,37.56593184,H,가양2동,126.851262,37.56737935
강서구,가양8,공공임대,1110,허준로 176 (가양동 가양8단지아파트),7533,126.8568081,37.5618605,H,가양3동,126.8605419,37.56105848
강서구,가양5,영구임대,2411,양천로57길 36 (가양동 가양5단지아파트),7526,126.8535196,37.56462738,H,가양2동,126.851262,37.56737935
강서구,방화2-1,영구임대,1563,방화대로48길 40 (방화동 방화2-1단지아파트),7519,126.8201671,37.57424482,H,방화3동,126.81355,37.57874321
강서구,방화11,영구임대,1065,개화동로21길 4 (방화동 방화11단지아파트),7611,126.8057256,37.57072031,H,방화2동,126.8067388,37.566713
강서구,방화6,영구공공,1000,금낭화로23길 25 (방화동 방화6단지아파트),7510,126.8112043,37.57813897,H,방화3동,126.81355,37.57874321
강서구,방화9,공공임대,250,양천로11길 57 (방화동 방화9단지아파트),7507,126.8071564,37.57464315,H,방화3동,126.81355,37.57874321
강서구,발산2(마곡수명산파크2단지),국민장기,629,강서로47길 158 (내발산동 마곡수명산파크2단지아파트),7634,126.8276418,37.55385797,H,발산1동,126.825127,37.55054536
강서구,발산3(마곡수명산파크3단지),장기전세,518,수명로1길 110 (내발산동 마곡수명산파크3단지아파트),7643,126.8247079,37.55185777,H,발산1동,126.825127,37.55054536
강서구,발산6(마곡수명산파크6단지),국민,399,수명로2길 63 (내발산동 마곡수명산파크6단지아파트),7635,126.8258219,37.54987533,H,발산1동,126.825127,37.55054536
강서구,발산1(마곡수명산파크1단지),국민,1421,강서로47길 108 (내발산동 마곡수명산파크1단지아파트),7634,126.8305342,37.55356537,H,발산1동,126.825127,37.55054536
