field_1,전철역코드,전철역명,전철명명(영문),호선,외부코드,검색키워드,주소,위도,경도,환승역,H/B,행정동,행정동_경도,행정동_위도
"103","0314",홍제역,Hongje,3호선,"324",홍제역 3호선,서울 서대문구 통일로 지하 440-1,37.5887103667691,126.944242309924,"0",H,홍제3동,126.949743382569,37.5937821789907
"104","0315",무악재역,Muakjae,3호선,"325",무악재역 3호선,서울 서대문구 통일로 지하 361,37.5823841472467,126.950322097494,"0",H,홍제2동,126.949395266731,37.5861524276881
