field_1,전철역코드,전철역명,전철명명(영문),호선,외부코드,검색키워드,주소,위도,경도,환승역,H/B,행정동,행정동_경도,행정동_위도
"28","2736",고속터미널역,Express Bus Terminal,7호선,"734",고속터미널역 7호선,서울 서초구 신반포로 지하 188,37.504647182738,127.004442096367,"1",H,반포4동,127.000307593417,37.4974760693012
"57","0329",고속터미널역,Express Bus Terminal,3호선,"339",고속터미널역 3호선,서울 서초구 신반포로 지하 188,37.504647182738,127.004442096367,"1",H,반포4동,127.000307593417,37.4974760693012
"228","0431",동작역,Dongjak,4호선,"431",동작역 4호선,서울 동작구 현충로 257,37.5028703671011,126.980268385443,"1",H,사당2동,126.979253427857,37.4887524986383
"238","1009",서빙고역,Seobinggo,경의선,K112,서빙고역 경의선,서울 용산구 서빙고로 238,37.5199555398566,126.990048630943,"0",H,서빙고동,126.994638088433,37.5204623812845
"318","4121",구반포역,Gubanpo,9호선,"921",구반포역 9호선,서울 서초구 신반포로 지하 17,37.501449823532,126.987374882947,"0",H,반포본동,126.986035611393,37.5004413570286
"319","4122",신반포역,Sinbanpo,9호선,"922",신반포역 9호선,서울 서초구 신반포로 지하 105,37.503413718529,126.995898957444,"0",H,반포2동,126.994503507652,37.5045938889694
"328","4120",동작역,Dongjak,9호선,"920",동작역 9호선,서울 동작구 현충로 지하 220,37.5030670046351,126.977937122017,"1",H,사당2동,126.979253427857,37.4887524986383
"329","4123",고속터미널역,Express Bus Terminal,9호선,"923",고속터미널역 9호선,서울 서초구 신반포로 지하 188,37.504647182738,127.004442096367,"1",H,반포4동,127.000307593417,37.4974760693012
