,전철역코드,전철역명,전철명명(영문),호선,외부코드,검색키워드,주소,위도,경도,환승역,H/B,행정동,행정동_경도,행정동_위도
364,0157,제기동역,Jegi-dong,1호선,125,제기동역 1호선,서울 동대문구 왕산로 지하 93,37.578201413657204,127.03469060192499,0,H,제기동,127.03781841472248,37.583115463995185
365,0158,청량리역,Cheongnyangni,1호선,124,청량리역 1호선,서울 동대문구 왕산로 지하 205,37.5802272229757,127.045051240227,1,H,청량리동,127.04728971940368,37.586251109549686
366,0159,동묘앞역,Dongmyo,1호선,127,동묘앞역 1호선,서울 종로구 종로 359,37.573372207569705,127.01675118037,1,H,숭인1동,127.01564523867643,37.577829849675894
367,0321,충무로역,Chungmuro,3호선,331,충무로역 3호선,서울 중구 퇴계로 지하 199,37.5611721437347,126.99411080007299,1,H,필동,126.99559954243827,37.56016408324306
368,4310,청계산입구역,Cheonggyesan,신분당선,D10,청계산입구역 신분당선,서울 서초구 청계산로 지하 179,37.4483676641102,127.05463196133499,0,H,내곡동,127.0769169347293,37.45824631311163
369,4713,신설동역,Sinseol-dong,우이신설경전철,953,신설동역 우이신설경전철,서울 동대문구 왕산로 지하 1,37.5753194830738,127.024701893044,1,H,용신동,127.03726228192635,37.57580677816467
370,4929,김포공항역,Gimpo Int’l Airport,김포도시철도,699,김포공항역 김포도시철도,서울 강서구 하늘길 지하 77,37.562144131501,126.801570320177,1,H,공항동,126.79483817099285,37.55591341272746
371,0224,서초역,Seocho,2호선,224,서초역 2호선,서울 서초구 서초대로 지하 233,37.491822999009294,127.007580814715,0,H,서초3동,127.01200750943013,37.48370806396488
372,0208,왕십리역,Wangsimni,2호선,208,왕십리역 2호선,서울 성동구 왕십리로 지하 300,37.561221741519105,127.036655378283,1,H,행당1동,127.03620337239582,37.558504384172046
373,2649,신내역,Sinnae,6호선,648,신내역 6호선,서울 중랑구 용마산로136길 33,37.6100975955422,127.11025628598699,1,H,망우본동,127.10149623606354,37.60057154261959
374,0207,상왕십리역,Sangwangsimni,2호선,207,상왕십리역 2호선,서울 성동구 왕십리로 지하 374,37.5644687111181,127.029031221392,0,H,왕십리2동,127.03050479092835,37.561108073176435
375,1010,한남역,Hannam,경의선,K113,한남역 경의선,서울 용산구 독서당로6길 12-13,37.5291881521046,127.00824982057199,0,H,한남동,127.00055213243787,37.53462985578658
376,0233,대림역,Daerim,2호선,233,대림역 2호선,서울 구로구 도림천로 351,37.4933105886136,126.8949461878,1,H,구로4동,126.88916194362048,37.49162880006584
377,0246,신설동역,Sinseol-dong,2호선,211-4,신설동역 2호선,서울 동대문구 왕산로 지하 1,37.5753194830738,127.024701893044,1,H,용신동,127.03726228192635,37.57580677816467
378,0247,도림천역,Dorimcheon,2호선,234-1,도림천역 2호선,서울 구로구 경인로67길 160,37.5144420510515,126.882702584468,0,H,신도림동,126.88061022867365,37.507780905043674
379,0248,양천구청역,Yangcheon-gu Office,2호선,234-2,양천구청역 2호선,서울 양천구 목동로3길 지하 33,37.512698935844604,126.866065211751,0,H,신정7동,126.85968767342912,37.51440010484428
380,0250,용두역,Yongdu,2호선,211-3,용두역 2호선,서울 동대문구 천호대로 지하 129,37.5739380503267,127.038031119837,0,H,용신동,127.03726228192635,37.57580677816467
381,1308,중랑역,Jungnang,경춘선,P119,중랑역 경춘선,서울 중랑구 중랑역로 9,37.594824096027395,127.075728956656,1,H,중화2동,127.07617317673738,37.60282866296335
382,100C,용산역,Yongsan,경의선,K110,용산역 경의선,서울 용산구 한강대로23길 55,37.5297718014452,126.96474150348499,1,H,한강로동,126.96910588830355,37.52814221077219
383,4126,언주역,Eonju,9호선,926,언주역 9호선,서울 강남구 봉은사로 지하 201,37.5074454982119,127.034284713238,0,H,논현2동,127.03735990690524,37.51739318345911
384,0150,서울역,Seoul Station,1호선,133,서울역 1호선,서울 중구 세종대로 지하 2,37.557159483598795,126.972554606456,1,H,회현동,126.97935667015034,37.55729358571407
385,0151,시청역,City Hall,1호선,132,시청역 1호선,서울 중구 세종대로 지하 101,37.56543851764079,126.976983237511,1,H,소공동,126.97978948415194,37.56389256147569
386,0152,종각역,Jonggak,1호선,131,종각역 1호선,서울 종로구 종로 지하 55,37.5702140381269,126.98323967893299,0,H,종로1.2.3.4가동,126.99028726084354,37.574435539666744
387,4705,화계역,Hwagye,우이신설경전철,945,화계역 우이신설경전철,서울 강북구 삼양로 341,37.633930477075296,127.0172978051,0,H,수유1동,127.01760923818316,37.63005817372584
388,4706,삼양역,Samyang,우이신설경전철,946,삼양역 우이신설경전철,서울 강북구 삼양로 지하 259,37.626835165677,127.018198221331,0,H,삼양동,127.01838797999687,37.62734428383054
389,101C,회기역,Hoegi,경의선,K118,회기역 경의선,서울 동대문구 회기로 196,37.589744238767096,127.058035421223,1,H,휘경1동,127.06579124432037,37.59296725363674
390,1265,가좌역,Gajwa,경의선,K315,가좌역 경의선,서울 서대문구 수색로 27,37.5688870324193,126.915149791265,0,H,남가좌1동,126.91978625354398,37.57327343428088
