정류소명,X좌표,Y좌표,정류버스수
강남경찰서면허시험장,127.0659524808,37.5097668706,15
잠실트리지움아파트앞,127.0911770624,37.511679161,15
일동제약사거리,127.0382490678,37.4788695842,15
한국거래소,126.9271089397,37.5236316408,15
남서울중학교.성보중고등학교,126.9208025963,37.4828682465,15
봉천사거리.봉천중앙시장,126.954099295,37.4829528114,15
목동7단지,126.8670086856,37.5256605639,15
독산동성당앞,126.9026897457,37.4697182134,15
독산동쌈지공원,126.9031074322,37.471178479,15
독산동남문시장,126.903318531,37.4733528674,15
독산3동주민센터,126.903559018,37.4758278126,15
대신시장,126.9163876905,37.5118906206,15
삼성래미안아파트,126.9384569709,37.3990106851,15
범일운수종점,126.9108258555,37.4505792729,15
양평동한솔아파트,126.8904357873,37.5440241425,15
신월시영아파트.강월초등학교,126.8348025907,37.5155993599,15
신월5동주민센터.신월중학교,126.8273619731,37.5393028981,15
신화중학교,126.8304849232,37.5394068899,15
정랑고개.양천벤처타운,126.8503440576,37.511646082,15
신트리아파트,126.8544469871,37.5130608579,15
가양역.마포중고등학교,126.8543099725,37.5595228711,15
예림디자인고.오류고.서울공연예술고,126.8290796207,37.4983488891,15
명지전문대.충암중고등학교,126.9234814372,37.5848360331,15
역촌역.역촌오거리,126.9233963525,37.6069586926,15
경복궁,126.9787204661,37.5756938103,14
충신동,127.006331,37.574106,14
을지로6가.국립중앙의료원,127.0058282626,37.5664064222,14
월계보건지소,127.0616454031,37.6319022528,14
정릉4동주민센터.경국사,127.0062568296,37.6135270031,14
세검정초등학교,126.9612835938,37.6024879601,14
자하문터널입구.석파정,126.9637111581,37.5955802677,14
지하철7호선중화역,127.0791862331,37.6026252549,14
용두동사거리.한국의류시험연구원,127.028363387,37.5771977204,14
서라벌중학교.우이동대우아파트,127.0127315838,37.6540097558,14
마장축산물시장,127.0376120366,37.5702417373,14
도선사거리,127.0366528058,37.5667469532,14
무학여고,127.0339167551,37.5578977476,14
금옥초등학교앞,127.0183627294,37.5462809251,14
연희교차로,126.9303656026,37.5660428959,14
순천향대학병원.한남오거리,127.006068,37.535247,14
길음역,127.023933,37.601972,14
돌곶이역,127.0562793957,37.6105012387,14
신일병원,127.0212025342,37.6344959967,14
경희중고,127.0579436867,37.5930743352,14
떡전교앞,127.0527049049,37.5846742559,14
석관동주민센터,127.0616826036,37.6134158282,14
신사중학교,127.020441658,37.5229956899,14
광림교회.현대고등학교,127.0251671287,37.5255041404,14
신사동고개,127.0258888045,37.5188795309,14
신논현역.구교보타워사거리,127.0251220072,37.5028759418,14
보라매공원,126.9165920943,37.4970207774,14
서울영림초등학교,126.9046639482,37.4870456932,14
아현초등학교,126.9572786313,37.5549157823,14
공덕역,126.9512029734,37.5445734823,14
연세중앙교회,126.8359820126,37.4932652697,14
전경련회관,126.9187626213,37.5220162573,14
중동초등학교,126.9103715823,37.5668437842,14
성산2동주민센터,126.9084204017,37.5679777949,14
성산아파트,126.9014703936,37.5715735064,14
중랑구청사거리,127.09525,37.605508,14
국민은행망우동지점,127.0971320519,37.5994814989,14
신내교회.신내데시앙아파트,127.101065486,37.6105368364,14
홈플러스면목동점,127.0822020106,37.5812155446,14
장안2동주민센터,127.0704082732,37.5788003907,14
구의사거리,127.0863043477,37.5458492702,14
잠실대교전망쉼터,127.0948348734,37.5199600927,14
강일고등학교.강일리버파크7단지,127.1779976114,37.565135649,14
강남구청.강남세무서,127.0473904224,37.5183142245,14
고덕그라시움,127.1608388583,37.5560249673,14
남태령역,126.9881707204,37.4657132812,14
탑성마을,127.0546665742,37.4594343277,14
염곡마을.서초50플러스센터,127.0490285978,37.4618114917,14
봉일시장,126.9373089275,37.4851670165,14
남부초등학교,126.9223053005,37.4833229548,14
신한은행신월동지점,126.8417742042,37.5179084286,14
신곡시장.금빛새마을금고,126.8437015023,37.5193730361,14
영등포농협.신길2동새마을금고,126.9115462782,37.5108730588,14
신대방역,126.913610632,37.4864383151,14
보라매공원입구,126.9174623756,37.4891949654,14
안양여중고,126.9173833674,37.4039177929,14
관악역,126.9103632662,37.4196002753,14
대림.LG.힐스테이트아파트(중),126.9044022015,37.429663333,14
구로역·NC신구로점,126.8826355474,37.5005631069,14
증산종합시장.증산중학교입구,126.9063513385,37.5806156837,14
증산역.증산동주민센터,126.9096280019,37.5837165148,14
푸른마을2단지아파트,126.8341993322,37.514249087,14
한빛종합사회복지관,126.8390888312,37.5212257959,14
강서초등학교,126.8416612445,37.521834556,14
개화산역,126.8060766199,37.5725186644,14
방화사거리,126.8104761433,37.5731502632,14
방화역,126.8125007679,37.5768789401,14
성미약수터,126.9140902059,37.5624771894,14
명지중고등학교,126.925636758,37.5827214927,14
명지대삼거리,126.9263668662,37.5812673523,14
명지대,126.9243955449,37.5799122865,14
부대앞,126.8859478355,37.6284394337,14
일산동구청(중),126.7742637858,37.6577828105,14
KT광화문지사,126.9772022826,37.5724045047,13
한성여객종점,127.0700074499,37.6381165585,13
서울역버스환승센터.강우규의거터,126.9727726576,37.5554664032,13
성가복지병원,127.0313059234,37.6059147758,13
성북청수도서관.정릉4동성당,127.0084452113,37.61157851,13
장위래미안아파트,127.0522655429,37.6188638365,13
롯데아파트,126.9764903684,37.6103923328,13
통인시장종로구보건소,126.9711088601,37.5803317347,13
시조사삼거리,127.0570373889,37.588654758,13
도봉보건소,127.0407479902,37.6589419367,13
대흥역,126.9429593563,37.5475170213,13
문화촌현대아파트,126.9465737315,37.5923219945,13
삼양동사거리입구,127.0285423836,37.6171719852,13
성암국제무역고등학교,127.0252509718,37.6181643071,13
서울문화고등학교,127.0462982408,37.66274747,13
중랑소방서,127.0952131859,37.6148633623,13
신내7단지아파트홈플러스,127.0935647678,37.6155290908,13
상계역,127.0720789547,37.6602670276,13
길동사거리.강동세무서,127.1374778317,37.5343452363,13
한남5거리,127.009314,37.531398,13
프리마호텔,127.0514192719,37.5246336257,13
봉은사.삼성1파출소앞,127.0595929186,37.5150230687,13
한티역,127.0523082944,37.4972203439,13
신대방경남아파트,126.9076798701,37.490344462,13
사육신공원,126.9486334233,37.51303762,13
신림사거리,126.9297178994,37.4827733321,13
롯데관악점.건강보험관악지사,126.9258896205,37.489965581,13
마포경찰서,126.9551357468,37.5508234948,13
아현동주민센터,126.9531247641,37.5471257021,13
경인중학교.개봉사거리,126.8555223198,37.4973429739,13
용산경찰서,126.9691782289,37.5405092844,13
세브란스병원,126.9378391868,37.5599730371,13
우림시장.망우사거리,127.0990469452,37.5996490586,13
서울의료원후문,127.0982057245,37.6136791525,13
능산지하차도,127.1003289798,37.6010829917,13
자양동잠실대교북단,127.0849571895,37.5330115269,13
건영아파트,127.096076241,37.6022264045,13
잠실역.잠실대교.남단,127.0995556784,37.5136681258,13
수서역KT수서지점,127.1000245707,37.4884125411,13
잠실새내역.잠실2동주민센터,127.0872743139,37.5117037183,13
이대부고,126.9465761095,37.566268875,13
송파글마루도서관.버들어린이집,127.1316516943,37.4815949929,13
송파구민회관구의회,127.0947556564,37.5026989537,13
삼전역,127.0897976276,37.503970735,13
